video_path,sampled_frames,onnx_video_A_detected,onnx_video_A_ratio,onnx_video_B1_detected,onnx_video_B1_ratio,onnx_video_B2_detected,onnx_video_B2_ratio,onnx_video_B3_detected,onnx_video_B3_ratio,onnx_video_B4_detected,onnx_video_B4_ratio,onnx_video_B5_detected,onnx_video_B5_ratio,onnx_video_B6_detected,onnx_video_B6_ratio
adl-01-cam0.mp4,19,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-02-cam0.mp4,23,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-03-cam0.mp4,23,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-04-cam0.mp4,19,0,0.0000,0,0.0000,0,0.1000,0,0.0000,0,0.0263,0,0.0000,0,0.0263
adl-05-cam0.mp4,23,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-06-cam0.mp4,29,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-07-cam0.mp4,23,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-08-cam0.mp4,23,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-09-cam0.mp4,19,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-10-cam0.mp4,38,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
adl-11-cam0.mp4,38,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
fall-01-cam0.mp4,20,1,0.4500,1,0.4500,1,0.2000,1,0.4500,1,0.2000,1,0.4500,1,0.2000
fall-01-cam1.mp4,20,1,0.7500,1,0.7500,1,0.7000,1,0.7500,1,0.7500,1,0.7500,1,0.7500
fall-02-cam0.mp4,14,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1786,0,0.0000,1,0.1786
fall-02-cam1.mp4,14,1,0.5000,1,0.5000,1,0.5714,1,0.5000,1,0.7857,1,0.5000,1,0.7857
fall-03-cam0.mp4,27,0,0.0000,0,0.0000,0,0.0714,0,0.0000,0,0.0000,0,0.0000,0,0.0000
fall-03-cam1.mp4,27,1,0.4444,1,0.4444,1,0.2857,1,0.4444,1,0.3148,1,0.4444,1,0.3148
fall-04-cam0.mp4,12,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
fall-04-cam1.mp4,12,1,0.4167,1,0.4167,1,0.3333,1,0.4167,1,0.6667,1,0.4167,1,0.6667
fall-05-cam0.mp4,19,1,0.2632,1,0.2632,0,0.0000,1,0.2632,0,0.0000,1,0.2632,0,0.0000
